date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:10	73188/73188	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202015%2002:55:57%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/08/Serial-Swindlers2-650x418.jpg	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-content/uploads/2015/08/Serial-Swindlers2-650x418.jpg	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:15	25674/25674	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Aug%202018%2021:59:11%20GMT	http://www.makeproductions.com/portfolio/asian-swindlers/	/Users/hamish/websites/makewaves/www.makeproductions.com/portfolio/asian-swindlers/index.html	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:15	25970/25970	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Aug%202018%2021:59:11%20GMT	http://www.makeproductions.com/portfolio/mishal-husain-meets/	/Users/hamish/websites/makewaves/www.makeproductions.com/portfolio/mishal-husain-meets/index.html	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:17	27572/27572	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202015%2014:03:44%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/03/Asian-Swindlers-650x418.jpg	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-content/uploads/2015/03/Asian-Swindlers-650x418.jpg	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:20	25696/25696	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Aug%202018%2021:59:16%20GMT	http://www.makeproductions.com/portfolio/subodh-vignette/	/Users/hamish/websites/makewaves/www.makeproductions.com/portfolio/subodh-vignette/index.html	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:22	25691/25691	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Aug%202018%2021:59:18%20GMT	http://www.makeproductions.com/portfolio/mariko-mori-2/	/Users/hamish/websites/makewaves/www.makeproductions.com/portfolio/mariko-mori-2/index.html	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:23	32905/32905	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202015%2014:07:55%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/03/Mariko-Mori-650x418.jpg	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-content/uploads/2015/03/Mariko-Mori-650x418.jpg	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:27	71432/71432	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202015%2014:12:36%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/03/Subodh-650x418.jpg	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-content/uploads/2015/03/Subodh-650x418.jpg	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:28	27629/27629	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202015%2014:03:47%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/03/BarginBrides-650x418.jpg	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-content/uploads/2015/03/BarginBrides-650x418.jpg	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:28	25508/25508	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Aug%202018%2021:59:23%20GMT	http://www.makeproductions.com/portfolio/the-day-the-earth-shook/	/Users/hamish/websites/makewaves/www.makeproductions.com/portfolio/the-day-the-earth-shook/index.html	(from http://www.makeproductions.com/portfolio-all/page/4/)
